辯中邊論卷上	(Madhyāntavibhāga-bhāṣya), first scroll
世親菩薩造	Written by Vasubandhu Bodhisattva 
大唐三藏法師玄奘奉詔譯	Translated by Imperial Decree by Tripiṭaka Dharma Master Xuanzang of the Great Tang
辯相品第一	Part I Chapter One Definition of Characteristics
稽首造此論，   善逝體所生	Reverence to the author of this treatise, born of the body of the Sugata, 
及教我等師，   當勤顯斯義	and to the master who teaches us, for I shall diligently explicate its meaning.
此中最初安立論體。	Here at the beginning I will set forth the structure of the treatise.
頌曰：   唯相障真實，   及修諸對治，   即此修分位，   得果無上乘。	The verse reads as follows: (1) Characteristics, (2) Obstacles, (3) Reality, (4) Cultivation of Antidotes, (5) Stages of the Practices, (6) Attainments, and (7) Unexcelled Vehicle (i.e., Mahayana). 
論曰：此論唯說如是七義，一相、二障、三真實、四修諸對治、五即此修分位、六得果、七無上乘。	Commentary: This treatise addresses these seven topics: (1) characteristics, (2) obstacles, (3) reality, (4) cultivation of antidotes, (5) the stages of practice, (6) the results obtained, (7) the Unexcelled Vehicle.
今於此中先辯其相。	Here we will first analyze the characteristics.
頌曰：   虛妄分別有，   於此二都無，   此中唯有空，   於彼亦有此。	The verse reads as follows: There is false discrimination, yet here these two do not exist. Herein there is but emptiness, and that is also existent in this.
論曰：虛妄分別有者，謂有所取、能取分別。	Commentary: “There is false discrimination” refers to there being discrimination between the grasped and the grasper (i.e., the conceptually apprehending subject and object).
於此二都無者，謂即於此虛妄分別，永無所取、能取二性。	“Yet here these two do not exist” means that here false discrimination is never of the duality of grasped and grasper.
此中唯有空者，謂虛妄分別中但有離所取及能取空性。	“Herein there is but emptiness” means that within false discrimination, there is only emptiness that is devoid of grasped and grasper.
於彼亦有此者，謂即於彼二空性中亦但有此虛妄分別。	“And that is also existent in this” means that therein within the emptiness of the two there is also only this false discrimination.
若於此非有，由彼觀為空； 所餘非無故，如實知為有。	If here there are no [grasped and grasper], it is due to those [two] being observed as empty; one understands [phenomena] as they actually are, since what remains is not nonexistent.
若如是者，則能無倒顯示空相。	This being so, the characteristic of emptiness can then be revealed without cognitive distortion.
復次頌曰：   故說一切法，   非空非不空，   有無及有故，   是則契中道。	The verse reads as follows: Thus, it is taught that all phenomena are neither empty nor non-empty. This is due to existence, nonexistence, and again existence. This then accords with the Middle Way.
論曰：一切法者，謂諸有為及無為法。	Commentary: “All phenomena” refers to conditioned and unconditioned phenomena.
虛妄分別名有為，二取空性名無為。	False discriminations are said to be conditioned. The emptiness of the two forms of grasping is called unconditioned.
依前理故，說此一切法非空非不空，由有空性虛妄分別故說非空，由無所取能取性故說非不空。	According to the former line of reasoning, it is said here that all phenomena are neither empty nor non-empty. Due to the existence of false discrimination [in] emptiness, they are said to be non-empty. Due to the nonexistence of grasped and grasper they are said to be not non-empty. 
有故者，謂有空性虛妄分別故。	“Due to existence” means “due to the existence of false discrimination [in] emptiness.”
無故者，謂無所取能取二性故。	“Due to nonexistence” means “due to there being no duality of that which is grasped and the grasper.” 
及有故者，謂虛妄分別中有空性故，及空性中有虛妄分別故。	“Due to and again existence” means “due to the fact that within false discrimination there is emptiness” and “due to that within emptiness there is false discrimination.” “This accords with the Middle Way” means that all phenomena are not exclusively empty, nor are they exclusively non-empty. This line of reasoning marvelously accords with the Middle Way.
是則契中道者，謂一切法非一向空亦非一向不空，如是理趣妙契中道，亦善符順般若等經說一切法非空非有。	It also conforms well to the sutras, such as those of the Prajñāpāramitā, which state that all phenomena are neither empty nor existent.
