善法經	The Discourse on Wholesome Qualities
我聞如是：一時，佛遊舍衛國，在勝林給孤獨園。	Thus have I heard: At one time, the Buddha was staying at Sāvatthī, in Jeta’s Grove, Anāthapiṇḍika’s Park.
爾時，世尊告諸比丘：「若有比丘成就七法者，便於賢聖得歡喜樂，正趣漏盡。	At that time the World-honored One addressed the monks: If a monk achieves seven qualities, then he will attain joy and happiness in [the path of] the noble ones and will progress rightly toward the cessation of the taints.
云何為七？	What are the seven?
謂比丘知法、知義、知時、知節、知己、知眾、知人勝如。	They are: a monk knows the Dharma, knows the meaning, knows the proper time, knows restraint, knows himself, knows assemblies, and knows persons according to their superiority.
云何比丘為知法耶？	How does a monk know the Dharma?
謂比丘知正經、歌詠、記說、偈咃、因緣、撰錄、本起、此說、生處、廣解、未曾有法及說是義，是謂比丘為知法也。	A monk knows the discourses, stanzas, expositions, verses, causes, inspired utterances, heroic tales, [what has been] thus said, birth stories, answers to questions, marvels, and explanations of meaning. This is a monk who knows the Dharma. 
若有比丘不知法者，謂不知正經、歌詠、記說、偈咃、因緣、撰錄、本起、此說、生處、廣解、未曾有法及說義，如是比丘為不知法。	If a monk does not know the Dharma—that is to say, does not know the discourses, stanzas, expositions, verses, causes, inspired utterances, heroic tales, [what has been] thus said, birth stories, answers to questions, marvels, and explanations of meaning—then such a monk is one who does not know the Dharma.
若有比丘善知法者，謂知正經、歌詠、記說、偈咃、因緣、撰錄、本起、此說、生處、廣解、未曾有法及說義，是謂比丘善知法也。	If, [however,] a monk knows the Dharma well—that is to say, knows the discourses, stanzas, expositions, verses, causes, inspired utterances, heroic tales, [what has been] thus said, birth stories, answers to questions, marvels, and explanations of meaning—then such a monk is one who knows the Dharma well.
云何比丘為知義耶？	How does a monk know the meaning?
謂比丘知彼彼說義是彼義、是此義，是謂比丘為知義也。	A monk knows the meaning of various explanations: The meaning is this, the meaning is that. This is a monk who knows the meaning.
若有比丘不知義者，謂不知彼彼說義是彼義、是此義，如是比丘為不知義。	If a monk does not know the meaning—that is to say, does not know the meaning of various explanations: The meaning is this, the meaning is that—then such a monk is one who does not know the meaning.
若有比丘善知義者，謂知彼彼說義是彼義、是此義，是謂比丘善知義也。	If, [however,] a monk knows the meaning well—that is to say, knows the meaning of various explanations: The meaning is this, the meaning is that—then such a monk is one who knows the meaning well.
云何比丘為知時耶？	How does a monk know the proper time?
謂比丘知是時修下相，是時修高相，是時修捨相，是謂比丘為知時也。	A monk knows: This is the time to develop the characteristic of settling, This is the time to develop the characteristic of arousing, This is the time to develop the characteristic of equanimity. This is a monk who knows the proper time.
若有比丘不知時者，謂不知是時修下相，是時修高相，是時修捨相，如是比丘為不知時。	If a monk does not know the proper time—that is to say, he does not know: This is the time to develop the characteristic of settling, This is the time to develop the characteristic of arousing, This is the time to develop the characteristic of equanimity—then such a monk is one who does not know the proper time.
若有比丘善知時者，謂知是時修下相，是時修高相，是時修捨相，是謂比丘善知時也。	If, [however,] a monk knows well the proper time—that is to say, he knows: This is the time to develop the characteristic of settling, This is the time to develop the characteristic of arousing, This is the time to develop the characteristic of equanimity—then such a monk knows well the proper time.
云何比丘為知節耶？	How does a monk know restraint?
謂比丘知節，若飲若食、若去若住、若坐若臥、若語若默、若大小便，捐除睡眠，修行正智，是謂比丘為知節也。	A monk knows restraint who, having discarded sloth and torpor, practices right attentiveness when drinking, eating, going, standing, sitting, lying down, speaking, keeping silent, defecating, or urinating. This is a monk who knows restraint.
