大般涅槃經卷第一北涼天竺三藏曇無讖譯壽命品第
一如是我聞：	Thus have I heard.
一時佛在拘尸那國力士生地阿利羅跋提河邊娑羅雙樹間。 爾時世尊與大比丘八十億百千人俱，前後圍遶。	At one time the Buddha was between a pair of sal trees by the banks of the Ajiravati River in Kusinagara, the native land of the Malla people. At that time the World-Honored One was together with monks numbering what seemed like eight trillion and surrounding him on all sides.
二月十五日臨涅槃時，以佛神力出大音聲，其聲遍滿乃至有頂，隨其類音普告眾生：	It was the fifteenth day of the second month, and he was about to pass into nirvana. Using his supernatural powers, the Buddha spoke out in a great voice so loud that it filled the world, reaching even to the highest heaven in the triple world. Projecting a variety of sounds, he spoke to living beings in every quarter, saying:
「今日如來、應、正遍知，憐愍眾生，覆護眾生，等視眾生如羅睺羅，為作歸依屋舍室宅。	Today, the Tathagata, the One Worthy of Offerings, the Perfectly Enlightened One, is filled with compassion toward living beings, protects living beings, and looks equally upon [all] living beings as if he were looking upon his own son Rahula. He creates rooms and houses of refuge for them.
大覺世尊將欲涅槃，一切眾生若有所疑，今悉可問，為最後問。」	The World-Honored One of the great enlightenment is about to enter nirvana. If there is anyone among you with doubts [regarding the teachings], you should ask your questions now, as this will be your last opportunity for questions.
爾時世尊於晨朝時，從其面門放種種光，其明雜色，青、黃、赤、白、頗梨、馬瑙，光遍照此三千大千佛之世界，乃至十方亦復如是。	At that time, in the early morning, the World-Honored One emitted from his mouth a variety of rays of light. This light was multicolored: blue, yellow, red, white, crystal, and emerald, and it shone throughout the three thousand-great thousand buddha worlds, reaching similarly into all ten directions.
其中所有六趣眾生遇斯光者，罪垢煩惱一切消除。	Living beings in all six realms that encountered it had their transgressions, impurities, and defilements eliminated entirely.
是諸眾生見聞是已，心大憂愁，同時舉聲悲啼號哭：「嗚呼慈父，痛哉苦哉。」	 Those who saw and heard these things felt great sorrow. Simultaneously they raised their voices in a doleful cry: Compassionate father! How distressing, how awful this is!
舉手拍頭搥胸叫喚，其中或有身體戰慄、涕泣、哽咽。	Some raised their hands in the air, slapped their foreheads, pounded their chests, and screamed. Others felt their bodies tremble, some cried, and others were choked with tears.
爾時大地諸山大海，皆悉震動，時諸眾生共相謂言：「且各裁抑，莫大愁苦。	At that time the earth, mountains, and great oceans all began shaking. The people said to each other: For the time being, let us restrain ourselves and not grieve so.
當疾往詣拘尸那城力士生處，至如來所，頭面禮敬，勸請如來莫般涅槃，住世一劫若減一劫。」	Rather, we should go quickly to Kusinagara, the land of the Mallas, and upon reaching the Tathagata, bow our heads in respect and beseech him, saying, Tathagata! Please do not pass over into parinirvana! Stay in the world for one more kalpa, at least something close to a kalpa.
